time,z
25097341.1984,1586.86
25097341.2776,1393.29
25097341.3547,1171.41
25097341.4317,956.137
25097341.5076,865.338
25097341.5878,981.194
25097341.6722,1209.39
25097341.7269,1544.09
25097341.762,1613.0
25097341.79,1718.88
25097341.8084,1788.01
25097341.827,1846.07
25097341.86,1783.68
25097341.8792,1810.28
25097341.8966,1892.3
25097341.9144,1896.35
25097341.9337,1906.49
25097341.9511,1918.0
25097341.9647,1920.22
25097341.9769,1947.37
25097341.9886,2022.9
25097342.0014,2099.7
25097342.0183,2105.46
25097342.0382,2125.4
25097342.0485,2132.66
25097342.0594,2132.85
25097342.0699,2272.77
25097342.0789,2134.0
25097342.0889,2144.58
25097342.0991,2168.64
25097342.109,2183.01
25097342.1203,2196.13
25097342.1348,2204.15
25097342.1603,2112.06
25097342.1767,2118.21
25097342.198,2092.66
25097342.223,2097.67
25097342.2535,1999.25
25097342.2665,1986.68
25097342.2786,1984.04
25097342.2899,1997.25
25097342.3003,2004.28
25097342.3104,2008.31
25097342.3208,2041.66
25097342.3303,2074.24
25097342.3401,2105.79
25097342.3492,2139.61
25097342.3582,2165.99
25097342.3674,2194.78
25097342.3771,2225.53
25097342.3867,2267.77
25097342.3954,2300.27
25097342.4043,2321.46
25097342.4132,2362.87
